id,species,taxonId,ensembl,entrez,name,fullname,synonym,signature,chromStart,chromEnd,chromStrand,chromName,band,goTerms,function,goFunctions,goLocalizations,cerebralLocalization,nrIntxsValidated,nrIntxsPredicted,transcripts,humanOrthologs,mouseOrthologs,bovineOrthologs,lastModified
9849,Homo sapiens,9606,ENSG00000186146,644414,DEFB131,"defensin, beta 131 ",,DEFB131|IDBG-9849|ENSG00000186146|644414,9444534,9450514,1,4,p16.1,GO:0005576|extracellular region|cellular_component#GO:0042742|defense response to bacterium|biological_process,,,,Extracellular,0,0,9851,,Defb43|IDBG-172237|ENSMUSG00000075572|654458,,2017/2/20
9881,Homo sapiens,9606,ENSG00000169676,"1,019,298,151,816",DRD5,dopamine receptor D5 ,DBDR|DRD1B|DRD1L2,"DRD5|IDBG-9881|ENSG00000169676|101929815,1816",9781680,9784009,1,4,p16.1,"GO:0001588|dopamine receptor activity, coupled via Gs|molecular_function#GO:0001963|synaptic transmission, dopaminergic|biological_process#GO:0001975|response to amphetamine|biological_process#GO:0001992|regulation of systemic arterial blood pressure by vasopressin|biological_process#GO:0001994|norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure|biological_process#GO:0004930|G-protein coupled receptor activity|molecular_function#GO:0004952|dopamine receptor activity|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006874|cellular calcium ion homeostasis|biological_process#GO:0007186|G-protein coupled receptor signaling pathway|biological_process#GO:0007189|adenylate cyclase-activating G-protein coupled receptor signaling pathway|biological_process#GO:0007190|activation of adenylate cyclase activity|biological_process#GO:0007191|adenylate cyclase-activating dopamine receptor signaling pathway|biological_process#GO:0007268|synaptic transmission|biological_process#GO:0007617|mating behavior|biological_process#GO:0008306|associative learning|biological_process#GO:0010579|positive regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0019226|transmission of nerve impulse|biological_process#GO:0031526|brush border membrane|cellular_component#GO:0033861|negative regulation of NAD(P)H oxidase activity|biological_process#GO:0035240|dopamine binding|molecular_function#GO:0042060|wound healing|biological_process#GO:0042220|response to cocaine|biological_process#GO:0045762|positive regulation of adenylate cyclase activity|biological_process#GO:0045776|negative regulation of blood pressure|biological_process#GO:0045924|regulation of female receptivity|biological_process#GO:0046960|sensitization|biological_process#GO:0060158|phospholipase C-activating dopamine receptor signaling pathway|biological_process#GO:0060292|long term synaptic depression|biological_process#GO:0071870|cellular response to catecholamine stimulus|biological_process#GO:0072593|reactive oxygen species metabolic process|biological_process", dopamine receptor activity,"GO:0001588: dopamine receptor activity, coupled via Gs#GO:0004930: G-protein coupled receptor activity#GO:0004952: dopamine receptor activity#GO:0035240: dopamine binding","GO:0001588: dopamine receptor activity, coupled via Gs,GO:0004930: G-protein coupled receptor activity,GO:0004952: dopamine receptor activity,GO:0035240: dopamine binding",Plasma membrane,5,0,9885,,Drd5|IDBG-160023|ENSMUSG00000039358|13492,DRD5|IDBG-648606|ENSBTAG00000038606|526221,2017/2/20
9902,Homo sapiens,9606,ENSG00000166710,567,B2M,beta-2-microglobulin ,,B2M|IDBG-9902|ENSG00000166710|567,44711477,44718877,1,15,q21.1,"GO:0000139|Golgi membrane|cellular_component#GO:0001895|retina homeostasis|biological_process#GO:0001916|positive regulation of T cell mediated cytotoxicity|biological_process#GO:0002237|response to molecule of bacterial origin|biological_process#GO:0002474|antigen processing and presentation of peptide antigen via MHC class I|biological_process#GO:0002479|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|biological_process#GO:0002480|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent|biological_process#GO:0002481|antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent|biological_process#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005788|endoplasmic reticulum lumen|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0012507|ER to Golgi transport vesicle membrane|cellular_component#GO:0016020|membrane|cellular_component#GO:0016032|viral process|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030670|phagocytic vesicle membrane|cellular_component#GO:0031901|early endosome membrane|cellular_component#GO:0031905|early endosome lumen|cellular_component#GO:0033077|T cell differentiation in thymus|biological_process#GO:0042026|protein refolding|biological_process#GO:0042493|response to drug|biological_process#GO:0042590|antigen processing and presentation of exogenous peptide antigen via MHC class I|biological_process#GO:0042612|MHC class I protein complex|cellular_component#GO:0042802|identical protein binding|molecular_function#GO:0045087|innate immune response|biological_process#GO:0046686|response to cadmium ion|biological_process#GO:0050690|regulation of defense response to virus by virus|biological_process#GO:0050776|regulation of immune response|biological_process#GO:0060333|interferon-gamma-mediated signaling pathway|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component", identical protein binding,GO:0005515: protein binding#GO:0042802: identical protein binding,"GO:0005515: protein binding,GO:0042802: identical protein binding",Extracellular,188,3,9904|600049|601739|589718|596485|603988|591779|600211,,B2m|IDBG-202736|ENSMUSG00000060802|12010,"B2M|IDBG-646936|ENSBTAG00000012330|280729,783680",2017/2/20
9930,Homo sapiens,9606,ENSG00000008710,"1,019,300,751,027,230,000,000",PKD1,polycystic kidney disease 1 (autosomal dominant) ,PBP|Pc-1|TRPP1,"PKD1|IDBG-9930|ENSG00000008710|101930075,102723646,5310",2088710,2135898,-1,16,p13.3,GO:0001502|cartilage condensation|biological_process#GO:0001568|blood vessel development|biological_process#GO:0001701|in utero embryonic development|biological_process#GO:0001822|kidney development|biological_process#GO:0001889|liver development|biological_process#GO:0001892|embryonic placenta development|biological_process#GO:0002133|polycystin complex|cellular_component#GO:0005261|cation channel activity|molecular_function#GO:0005262|calcium channel activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005929|cilium|cellular_component#GO:0006611|protein export from nucleus|biological_process#GO:0006807|nitrogen compound metabolic process|biological_process#GO:0006816|calcium ion transport|biological_process#GO:0007050|cell cycle arrest|biological_process#GO:0007156|homophilic cell adhesion|biological_process#GO:0007160|cell-matrix adhesion|biological_process#GO:0007161|calcium-independent cell-matrix adhesion|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0007218|neuropeptide signaling pathway|biological_process#GO:0007259|JAK-STAT cascade|biological_process#GO:0007507|heart development|biological_process#GO:0009653|anatomical structure morphogenesis|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016323|basolateral plasma membrane|cellular_component#GO:0016328|lateral plasma membrane|cellular_component#GO:0016337|single organismal cell-cell adhesion|biological_process#GO:0018105|peptidyl-serine phosphorylation|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0019904|protein domain specific binding|molecular_function#GO:0021510|spinal cord development|biological_process#GO:0021915|neural tube development|biological_process#GO:0030246|carbohydrate binding|molecular_function#GO:0031512|motile primary cilium|cellular_component#GO:0031659|positive regulation of cyclin-dependent protein kinase activity involved in G1/S|biological_process#GO:0032092|positive regulation of protein binding|biological_process#GO:0034405|response to fluid shear stress|biological_process#GO:0042994|cytoplasmic sequestering of transcription factor|biological_process#GO:0043588|skin development|biological_process#GO:0044325|ion channel binding|molecular_function#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0048565|digestive tract development|biological_process#GO:0048754|branching morphogenesis of an epithelial tube|biological_process#GO:0048806|genitalia development|biological_process#GO:0050982|detection of mechanical stimulus|biological_process#GO:0051216|cartilage development|biological_process#GO:0060236|regulation of mitotic spindle organization|biological_process#GO:0060428|lung epithelium development|biological_process#GO:0060674|placenta blood vessel development|biological_process#GO:0061136|regulation of proteasomal protein catabolic process|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0070588|calcium ion transmembrane transport|biological_process#GO:0072001|renal system development|biological_process#GO:0072164|mesonephric tubule development|biological_process#GO:0072177|mesonephric duct development|biological_process#GO:0072205|metanephric collecting duct development|biological_process#GO:0072218|metanephric ascending thin limb development|biological_process#GO:0072237|metanephric proximal tubule development|biological_process#GO:0072287|metanephric distal tubule morphogenesis|biological_process, ion channel binding,GO:0005261: cation channel activity#GO:0005262: calcium channel activity#GO:0005515: protein binding#GO:0019901: protein kinase binding#GO:0019904: protein domain specific binding#GO:0030246: carbohydrate binding#GO:0044325: ion channel binding,"GO:0005261: cation channel activity,GO:0005262: calcium channel activity,GO:0005515: protein binding,GO:0019901: protein kinase binding,GO:0019904: protein domain specific binding,GO:0030246: carbohydrate binding,GO:0044325: ion channel binding",Nucleus,32,4,9932|364853|751623|751304|752488|745877|752039|747946|750367,,Pkd1|IDBG-147323|ENSMUSG00000032855|18763,PKD1|IDBG-635133|ENSBTAG00000020619|504986,2017/2/20
9954,Homo sapiens,9606,ENSG00000185880,"100,419,583,140,691",TRIM69,tripartite motif containing 69 ,,"TRIM69|IDBG-9954|ENSG00000185880|100419583,140691",44728988,44767829,1,15,q21.1,GO:0004842|ubiquitin-protein transferase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0008270|zinc ion binding|molecular_function#GO:0016567|protein ubiquitination|biological_process#GO:0016607|nuclear speck|cellular_component#GO:0016874|ligase activity|molecular_function#GO:0046872|metal ion binding|molecular_function, metal ion binding,GO:0004842: ubiquitin-protein transferase activity#GO:0005515: protein binding#GO:0008270: zinc ion binding#GO:0016874: ligase activity#GO:0046872: metal ion binding,"GO:0004842: ubiquitin-protein transferase activity,GO:0005515: protein binding,GO:0008270: zinc ion binding,GO:0016874: ligase activity,GO:0046872: metal ion binding",Nucleus,12,0,9956|9958|584271|586873|600415|592660|602026|598585,,Trim69|IDBG-202758|ENSMUSG00000033368|70928,TRIM69|IDBG-646937|ENSBTAG00000007518|618372,2017/2/20
9964,Homo sapiens,9606,ENSG00000100568,10490,VTI1B,vesicle transport through interaction with t-SNAREs homolog 1B (yeast) ,v-SNARE|VTI1|VTI1-LIKE|vti1-rp1|VTI1L|VTI2,VTI1B|IDBG-9964|ENSG00000100568|10490,67647075,67674831,-1,14,q24.1,GO:0000149|SNARE binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005765|lysosomal membrane|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0006886|intracellular protein transport|biological_process#GO:0006904|vesicle docking involved in exocytosis|biological_process#GO:0008021|synaptic vesicle|cellular_component#GO:0008283|cell proliferation|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016192|vesicle-mediated transport|biological_process#GO:0031201|SNARE complex|cellular_component#GO:0031902|late endosome membrane|cellular_component#GO:0043025|neuronal cell body|cellular_component#GO:0048471|perinuclear region of cytoplasm|cellular_component#GO:0061025|membrane fusion|biological_process, protein binding,GO:0000149: SNARE binding#GO:0005515: protein binding,"GO:0000149: SNARE binding,GO:0005515: protein binding",Plasma membrane,9,3,9966|588325|595666|596340|589320,,Vti1b|IDBG-152720|ENSMUSG00000021124|53612,VTI1B|IDBG-646795|ENSBTAG00000001948|780809,2017/2/20
10008,Homo sapiens,9606,ENSG00000172115,54205,CYCS,"cytochrome c, somatic ",,CYCS|IDBG-10008|ENSG00000172115|54205,25120091,25125361,-1,7,p15.3,"GO:0000159|protein phosphatase type 2A complex|cellular_component#GO:0004722|protein serine/threonine phosphatase activity|molecular_function#GO:0005506|iron ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005739|mitochondrion|cellular_component#GO:0005743|mitochondrial inner membrane|cellular_component#GO:0005758|mitochondrial intermembrane space|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006309|apoptotic DNA fragmentation|biological_process#GO:0006915|apoptotic process|biological_process#GO:0008635|activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c|biological_process#GO:0009055|electron carrier activity|molecular_function#GO:0016311|dephosphorylation|biological_process#GO:0020037|heme binding|molecular_function#GO:0022904|respiratory electron transport chain|biological_process#GO:0044237|cellular metabolic process|biological_process#GO:0044281|small molecule metabolic process|biological_process#GO:0045155|electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity|molecular_function#GO:0045333|cellular respiration|biological_process#GO:0055114|oxidation-reduction process|biological_process#GO:0070469|respiratory chain|cellular_component#GO:0097193|intrinsic apoptotic signaling pathway|biological_process", electron transporter,"GO:0004722: protein serine/threonine phosphatase activity#GO:0005506: iron ion binding#GO:0005515: protein binding#GO:0009055: electron carrier activity#GO:0020037: heme binding#GO:0045155: electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity","GO:0004722: protein serine/threonine phosphatase activity,GO:0005506: iron ion binding,GO:0005515: protein binding,GO:0009055: electron carrier activity,GO:0020037: heme binding,GO:0045155: electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity",Nucleus,30,1,10010|294745|294739|368744,,,,2017/2/20
10035,Homo sapiens,9606,ENSG00000109684,116449,CLNK,cytokine-dependent hematopoietic cell linker ,,CLNK|IDBG-10035|ENSG00000109684|116449,10486395,10684865,-1,4,p16.1,GO:0005070|SH3/SH2 adaptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005622|intracellular|cellular_component#GO:0006955|immune response|biological_process#GO:0007169|transmembrane receptor protein tyrosine kinase signaling pathway|biological_process#GO:0009967|positive regulation of signal transduction|biological_process#GO:0035556|intracellular signal transduction|biological_process, protein binding,GO:0005070: SH3/SH2 adaptor activity#GO:0005515: protein binding,"GO:0005070: SH3/SH2 adaptor activity,GO:0005515: protein binding",Unknown,2,4,10037|362938|484006|484852,,Clnk|IDBG-160384|ENSMUSG00000039315|27278,CLNK|IDBG-643946|ENSBTAG00000038340|100298588,2017/2/20
10038,Homo sapiens,9606,ENSG00000167964,25837,RAB26,"RAB26, member RAS oncogene family ",V46133,RAB26|IDBG-10038|ENSG00000167964|25837,2140803,2154165,1,16,p13.3,GO:0000139|Golgi membrane|cellular_component#GO:0003924|GTPase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005525|GTP binding|molecular_function#GO:0005622|intracellular|cellular_component#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006184|GTP catabolic process|biological_process#GO:0006886|intracellular protein transport|biological_process#GO:0006913|nucleocytoplasmic transport|biological_process#GO:0007165|signal transduction|biological_process#GO:0007264|small GTPase mediated signal transduction|biological_process#GO:0015031|protein transport|biological_process#GO:0016020|membrane|cellular_component#GO:0017157|regulation of exocytosis|biological_process#GO:0019002|GMP binding|molecular_function#GO:0030658|transport vesicle membrane|cellular_component#GO:0030667|secretory granule membrane|cellular_component#GO:0031226|intrinsic component of plasma membrane|cellular_component#GO:0035272|exocrine system development|biological_process#GO:0043001|Golgi to plasma membrane protein transport|biological_process#GO:0045055|regulated secretory pathway|biological_process, GMP binding,GO:0003924: GTPase activity#GO:0005515: protein binding#GO:0005525: GTP binding#GO:0019002: GMP binding,"GO:0003924: GTPase activity,GO:0005515: protein binding,GO:0005525: GTP binding,GO:0019002: GMP binding",Nucleus,9,0,10040|590893|748102|750935,,Rab26|IDBG-249850|ENSMUSG00000079657|328778,RAB26|IDBG-635247|ENSBTAG00000000279|515675,2017/2/20
10041,Homo sapiens,9606,ENSG00000140279,50506,DUOX2,dual oxidase 2 ,,DUOX2|IDBG-10041|ENSG00000140279|50506,45092650,45114344,-1,15,q21.1,GO:0004601|peroxidase activity|molecular_function#GO:0005509|calcium ion binding|molecular_function#GO:0006590|thyroid hormone generation|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0009566|fertilization|biological_process#GO:0009615|response to virus|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0016174|NAD(P)H oxidase activity|molecular_function#GO:0016324|apical plasma membrane|cellular_component#GO:0016491|oxidoreductase activity|molecular_function#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0020037|heme binding|molecular_function#GO:0030282|bone mineralization|biological_process#GO:0030878|thyroid gland development|biological_process#GO:0035264|multicellular organism growth|biological_process#GO:0042335|cuticle development|biological_process#GO:0042403|thyroid hormone metabolic process|biological_process#GO:0042445|hormone metabolic process|biological_process#GO:0042446|hormone biosynthetic process|biological_process#GO:0042744|hydrogen peroxide catabolic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0048839|inner ear development|biological_process#GO:0048855|adenohypophysis morphogenesis|biological_process#GO:0051591|response to cAMP|biological_process#GO:0055114|oxidation-reduction process|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component, heme binding,GO:0004601: peroxidase activity#GO:0005509: calcium ion binding#GO:0016174: NAD(P)H oxidase activity#GO:0016491: oxidoreductase activity#GO:0020037: heme binding,"GO:0004601: peroxidase activity,GO:0005509: calcium ion binding,GO:0016174: NAD(P)H oxidase activity,GO:0016491: oxidoreductase activity,GO:0020037: heme binding",Plasma membrane,3,0,10158|811754,,Duox2|IDBG-202825|ENSMUSG00000068452|214593,DUOX2|IDBG-646700|ENSBTAG00000016234|785698,2017/2/20
10062,Homo sapiens,9606,ENSG00000131653,84231,TRAF7,"TNF receptor-associated factor 7, E3 ubiquitin protein ligase ",,TRAF7|IDBG-10062|ENSG00000131653|84231,2155698,2178129,1,16,p13.3,"GO:0000151|ubiquitin ligase complex|cellular_component#GO:0000185|activation of MAPKKK activity|biological_process#GO:0004842|ubiquitin-protein transferase activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0006351|transcription, DNA-templated|biological_process#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006915|apoptotic process|biological_process#GO:0008270|zinc ion binding|molecular_function#GO:0016023|cytoplasmic membrane-bounded vesicle|cellular_component#GO:0016567|protein ubiquitination|biological_process#GO:0016874|ligase activity|molecular_function#GO:0043410|positive regulation of MAPK cascade|biological_process#GO:2001235|positive regulation of apoptotic signaling pathway|biological_process", ligase activity,GO:0004842: ubiquitin-protein transferase activity#GO:0005515: protein binding#GO:0008270: zinc ion binding#GO:0016874: ligase activity,"GO:0004842: ubiquitin-protein transferase activity,GO:0005515: protein binding,GO:0008270: zinc ion binding,GO:0016874: ligase activity",Unknown,15,1,10064|753805|806606|806560|751726,,Traf7|IDBG-147098|ENSMUSG00000052752|224619,TRAF7|IDBG-635250|ENSBTAG00000019073|511692,2017/2/20
10094,Homo sapiens,9606,ENSG00000050344,9603,NFE2L3,nuclear factor (erythroid-derived 2)-like 3 ,NRF3,NFE2L3|IDBG-10094|ENSG00000050344|9603,26152240,26187125,1,7,p15.2,"GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000978|RNA polymerase II core promoter proximal region sequence-specific DNA binding|molecular_function#GO:0001078|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|molecular_function#GO:0003677|DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003713|transcription coactivator activity|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function", sequence-specific DNA binding,GO:0000978: RNA polymerase II core promoter proximal region sequence-specific DNA binding#GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription#GO:0003677: DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0003713: transcription coactivator activity#GO:0043565: sequence-specific DNA binding,"GO:0000978: RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription,GO:0003677: DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0003713: transcription coactivator activity,GO:0043565: sequence-specific DNA binding",Nucleus,11,0,10096|806264,,Nfe2l3|IDBG-147291|ENSMUSG00000029832|18025,NFE2L3|IDBG-633630|ENSBTAG00000004136|510807,2017/2/20
10154,Homo sapiens,9606,ENSG00000137857,53905,DUOX1,dual oxidase 1 ,,DUOX1|IDBG-10154|ENSG00000137857|53905,45129933,45165576,1,15,q21.1,GO:0004601|peroxidase activity|molecular_function#GO:0005509|calcium ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006590|thyroid hormone generation|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0016174|NAD(P)H oxidase activity|molecular_function#GO:0016324|apical plasma membrane|cellular_component#GO:0016491|oxidoreductase activity|molecular_function#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0020037|heme binding|molecular_function#GO:0042335|cuticle development|biological_process#GO:0042446|hormone biosynthetic process|biological_process#GO:0042554|superoxide anion generation|biological_process#GO:0042744|hydrogen peroxide catabolic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0050661|NADP binding|molecular_function#GO:0050665|hydrogen peroxide biosynthetic process|biological_process#GO:0051591|response to cAMP|biological_process#GO:0055114|oxidation-reduction process|biological_process#GO:0072593|reactive oxygen species metabolic process|biological_process, NADP binding,GO:0004601: peroxidase activity#GO:0005509: calcium ion binding#GO:0005515: protein binding#GO:0016174: NAD(P)H oxidase activity#GO:0016491: oxidoreductase activity#GO:0020037: heme binding#GO:0050661: NADP binding,"GO:0004601: peroxidase activity,GO:0005509: calcium ion binding,GO:0005515: protein binding,GO:0016174: NAD(P)H oxidase activity,GO:0016491: oxidoreductase activity,GO:0020037: heme binding,GO:0050661: NADP binding",Plasma membrane,1,0,10156|10162|595124|595888|602437,,Duox1|IDBG-202931|ENSMUSG00000033268|99439,DUOX1|IDBG-646697|ENSBTAG00000016246|510409,2017/2/20
10163,Homo sapiens,9606,ENSG00000109705,579,NKX3-2,NK3 homeobox 2 ,BAPX1|NKX3.2|NKX3B|SMMD,NKX3-2|IDBG-10163|ENSG00000109705|579,13540830,13545050,-1,4,p15.33,"GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0000978|RNA polymerase II core promoter proximal region sequence-specific DNA binding|molecular_function#GO:0001078|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|molecular_function#GO:0001501|skeletal system development|biological_process#GO:0003677|DNA binding|molecular_function#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0005634|nucleus|cellular_component#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0007368|determination of left/right symmetry|biological_process#GO:0031016|pancreas development|biological_process#GO:0032331|negative regulation of chondrocyte differentiation|biological_process#GO:0042474|middle ear morphogenesis|biological_process#GO:0043066|negative regulation of apoptotic process|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0048513|organ development|biological_process#GO:0048536|spleen development|biological_process#GO:0048645|organ formation|biological_process#GO:0048705|skeletal system morphogenesis|biological_process#GO:0048706|embryonic skeletal system development|biological_process#GO:0055123|digestive system development|biological_process#GO:0060576|intestinal epithelial cell development|biological_process", sequence-specific DNA binding,GO:0000978: RNA polymerase II core promoter proximal region sequence-specific DNA binding#GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription#GO:0003677: DNA binding#GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0043565: sequence-specific DNA binding,"GO:0000978: RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription,GO:0003677: DNA binding,GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0043565: sequence-specific DNA binding",Nucleus,9,2,10167,,Nkx3-2|IDBG-160594|ENSMUSG00000049691|12020,BT.106450|IDBG-643956|ENSBTAG00000010896|616907,2017/2/20
10222,Homo sapiens,9606,ENSG00000072110,87,ACTN1,"actinin, alpha 1 ",BDPLT15,ACTN1|IDBG-10222|ENSG00000072110|87,68874143,68979440,-1,14,q24.1,GO:0001725|stress fiber|cellular_component#GO:0001726|ruffle|cellular_component#GO:0002576|platelet degranulation|biological_process#GO:0003725|double-stranded RNA binding|molecular_function#GO:0003779|actin binding|molecular_function#GO:0005178|integrin binding|molecular_function#GO:0005509|calcium ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005856|cytoskeleton|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005916|fascia adherens|cellular_component#GO:0005925|focal adhesion|cellular_component#GO:0007596|blood coagulation|biological_process#GO:0017166|vinculin binding|molecular_function#GO:0019904|protein domain specific binding|molecular_function#GO:0030018|Z disc|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0030864|cortical actin cytoskeleton|cellular_component#GO:0031093|platelet alpha granule lumen|cellular_component#GO:0031143|pseudopodium|cellular_component#GO:0034329|cell junction assembly|biological_process#GO:0042981|regulation of apoptotic process|biological_process#GO:0042995|cell projection|cellular_component#GO:0043197|dendritic spine|cellular_component#GO:0044325|ion channel binding|molecular_function#GO:0048041|focal adhesion assembly|biological_process#GO:0051015|actin filament binding|molecular_function#GO:0051017|actin filament bundle assembly|biological_process#GO:0051271|negative regulation of cellular component movement|biological_process#GO:0051764|actin crosslink formation|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component, actin filament binding,GO:0003725: double-stranded RNA binding#GO:0003779: actin binding#GO:0005178: integrin binding#GO:0005509: calcium ion binding#GO:0005515: protein binding#GO:0017166: vinculin binding#GO:0019904: protein domain specific binding#GO:0044325: ion channel binding#GO:0051015: actin filament binding,"GO:0003725: double-stranded RNA binding,GO:0003779: actin binding,GO:0005178: integrin binding,GO:0005509: calcium ion binding,GO:0005515: protein binding,GO:0017166: vinculin binding,GO:0019904: protein domain specific binding,GO:0044325: ion channel binding,GO:0051015: actin filament binding",Nucleus,120,9,10224|59350|241608|373144|583244|597868|589039|592375|600124|594113|590352|601025|599417|594929,,Actn1|IDBG-153380|ENSMUSG00000015143|109711,ACTN1|IDBG-646802|ENSBTAG00000018255|524770,2017/2/20
10241,Homo sapiens,9606,ENSG00000005020,8935,SKAP2,src kinase associated phosphoprotein 2 ,PRAP|RA70|SAPS|SCAP2|SKAP-HOM|SKAP55R,SKAP2|IDBG-10241|ENSG00000005020|8935,26667062,26995239,-1,7,p15.2,GO:0005070|SH3/SH2 adaptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006461|protein complex assembly|biological_process#GO:0007165|signal transduction|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0009967|positive regulation of signal transduction|biological_process#GO:0042113|B cell activation|biological_process, protein binding,GO:0005070: SH3/SH2 adaptor activity#GO:0005515: protein binding,"GO:0005070: SH3/SH2 adaptor activity,GO:0005515: protein binding",Nucleus,14,6,10243|369128,,Skap2|IDBG-147582|ENSMUSG00000059182|54353,SKAP2|IDBG-633609|ENSBTAG00000005650|616545,2017/2/20
